SN,2010,2012,2014
763,10700,7200,6300
764,10700,7200,6300
765,10700,7200,6300
766,10700,7200,6300
767,10700,7200,6300
768,10700,7200,6300
769,10700,7200,6300
770,10700,7200,6300
771,10700,7200,6300
772,10600,7200,6300
773,10600,7200,6300
774,10600,7200,6300
775,10600,7200,6300
776,10600,7200,6300
777,10600,7200,6300
778,10600,7200,6300
779,10600,7200,6300
780,10600,7200,6300
781,10600,7100,6300
782,10600,7100,6300
783,10600,7100,6300
784,10600,7100,6300
785,10600,7100,6300
786,10600,7100,6300
787,10600,7100,6300
788,10600,7100,6300
789,10600,7100,6280
790,10600,7100,6270
791,10600,7100,6261
792,10600,7100,6252
793,10600,7100,6243
794,10600,7100,6233
795,10600,7100,6224
796,10600,7100,6215
797,10600,7100,6206
798,10600,7100,6200
799,10600,7100,6200
800,10600,7100,6200
801,10600,7100,6200
802,10600,7100,6200
803,10500,7100,6200
804,10500,7100,6200
805,10500,7100,6200
806,10500,7100,6200
807,10500,7100,6200
808,10500,7100,6200
809,10500,7100,6200
810,10500,7100,6200
811,10500,7100,6200
812,10500,7100,6200
813,10500,7100,6200
814,10500,7100,6200
815,10500,7100,6200
816,10500,7100,6200
817,10500,7100,6200
818,10500,7100,6200
819,10500,7100,6200
820,10500,7100,6200
821,10500,7100,6200
822,10500,7100,6196
823,10500,7100,6187
824,10500,7100,6178
825,10500,7100,6169
826,10500,7100,6159
827,10500,7100,6141
828,10500,7000,6132
829,10500,7000,6123
830,10500,7000,6113
831,10500,7000,6104
832,10500,7000,6100
833,10500,7000,6095
834,10500,7000,6086
835,10500,7000,6076
836,10500,7000,6058
837,10500,7000,6049
838,10400,7000,6039
839,10400,7000,6030
840,10400,7000,6021
841,10400,7000,6002
842,10400,7000,6000
843,10400,7000,6000
844,10400,7000,6000
845,10400,7000,5993
846,10400,7000,5984
847,10400,7000,5975
848,10400,7000,5965
849,10400,7000,5956
850,10400,7000,5947
851,10400,7000,5938
852,10400,7000,5928
853,10400,7000,5910
854,10400,7000,5901
855,10400,7000,5900
856,10400,7000,5900
857,10400,7000,5900
858,10400,7000,5900
859,10400,7000,5900
860,10400,7000,5900
861,10400,7000,5900
862,10400,7000,5900
863,10400,7000,5900
864,10400,7000,5882
865,10400,7000,5873
866,10300,7000,5864
867,10300,7000,5855
868,10300,7000,5845
869,10300,7000,5808
870,10300,7000,5800
871,10300,7000,5771
872,10300,6900,5762
873,10300,6900,5734
874,10300,6900,5734
875,10300,6900,5734
876,10300,6900,5734
877,10300,6900,5734
878,10300,6900,5734
879,10300,6900,5734
880,10300,6900,5734
881,10300,6900,5734
882,10300,6900,5734
883,10300,6900,5734
884,10300,6900,5734
885,10300,6900,5734
886,10300,6900,5734
887,10300,6900,5734
888,10300,6900,5734
889,10300,6900,5734
890,10300,6900,5734
891,10300,6900,5734
